-20	-1	2.08506e-13
-19.8	-1	2.6424e-13
-19.6	-1	3.26218e-13
-19.4	-1	3.94947e-13
-19.2	-1	4.70586e-13
-19	-1	5.53209e-13
-18.8	-1	6.40454e-13
-18.6	-1	7.29948e-13
-18.4	-1	8.17794e-13
-18.2	-1	8.98599e-13
-18	-1	9.66306e-13
-17.8	-1	1.01579e-12
-17.6	-1	1.04151e-12
-17.4	-1	1.03643e-12
-17.2	-1	9.97704e-13
-17	-1	9.23939e-13
-16.8	-1	8.72074e-08
-16.6	-1	5.98454e-08
-16.4	-1	3.95534e-08
-16.2	-1	2.49743e-08
-16	-1	1.48724e-08
-15.8	-1	8.17084e-09
-15.6	-1	3.96751e-09
-15.4	-1	1.53664e-09
-15.2	-1	3.23819e-10
-15	-1	4.78235e-11
-14.8	-1	3.84779e-10
-14.6	-1	6.71097e-10
-14.4	-1	8.9397e-09
-14.2	-1	8.72466e-10
-14	-1	8.28819e-10
-13.8	-1	7.33108e-10
-13.6	-1	6.13379e-10
-13.4	-1	4.89957e-10
-13.2	-1	3.7576e-10
-13	-1	2.77645e-10
-12.8	-1	1.97932e-10
-12.6	-1	1.36197e-10
-12.4	-1	9.05376e-11
-12.2	-1	5.80839e-11
-12	-1	3.58883e-11
-11.8	-1	2.12843e-11
-11.6	-1	1.20541e-11
-11.4	-1	6.46761e-12
-11.2	-1	3.24782e-12
-11	-1	1.49746e-12
-10.8	-1	6.18517e-13
-10.6	-1	2.27647e-13
-10.4	-1	7.10409e-08
-10.2	-1	1.22096e-13
-10	-1	2.08564e-13
-9.8	-1	3.26162e-13
-9.6	-1	4.70679e-13
-9.4	-1	6.40492e-13
-9.2	-1	8.17753e-13
-9	-1	9.66371e-13
-8.8	-1	1.04149e-12
-8.6	-1	9.97599e-13
-8.4	-1	8.72074e-08
-8.2	-1	3.95534e-08
-8	-1	1.48724e-08
-7.8	-1	3.96751e-09
-7.6	-1	3.23819e-10
-7.4	-1	3.84779e-10
-7.2	-1	8.9397e-09
-7	-1	8.28819e-10
-6.8	-1	6.13378e-10
-6.6	-1	3.7576e-10
-6.4	-1	1.97932e-10
-6.2	-1	9.05376e-11
-6	-1	3.58883e-11
-5.8	-1	1.20536e-11
-5.6	-1	3.24413e-12
-5.4	-1	6.02151e-13
-5.2	-1	7.10409e-08
-5	-1	2.61619e-14
-4.8	-1	3.31633e-14
-4.6	-1	1.94031e-14
-4.4	-1	1.11955e-14
-4.2	-1	8.72066e-08
-4	-1	1.48722e-08
-3.8	-1	3.23723e-10
-3.6	-1	8.30146e-10
-3.4	-0.999998	6.13259e-10
-3.2	-0.999994	1.97919e-10
-3	-0.999978	3.58466e-11
-2.8	-0.999925	3.24044e-12
-2.6	-0.999764	3.40582e-14
-2.4	-0.999311	3.25344e-14
-2.2	-0.998137	1.10815e-14
-2	-0.995322	1.10503e-14
-1.8	-0.989091	1.09811e-14
-1.6	-0.976348	1.08396e-14
-1.4	-0.952285	1.05725e-14
-1.2	-0.910314	1.01065e-14
-1	-0.842701	9.35586e-15
-0.8	-0.742101	8.23898e-15
-0.6	-0.603856	6.70415e-15
-0.4	-0.428392	4.75611e-15
-0.2	-0.222703	2.4725e-15
-3.7581e-14	-4.24057e-14	4.70798e-28
0.2	0.222703	2.4725e-15
0.4	0.428392	4.75611e-15
0.6	0.603856	6.70415e-15
0.8	0.742101	8.23898e-15
1	0.842701	9.35586e-15
1.2	0.910314	1.01065e-14
1.4	0.952285	1.05725e-14
1.6	0.976348	1.08396e-14
1.8	0.989091	1.09811e-14
2	0.995322	1.10503e-14
2.2	0.998137	1.10815e-14
2.4	0.999311	3.25344e-14
2.6	0.999764	3.40568e-14
2.8	0.999925	3.24044e-12
3	0.999978	3.58466e-11
3.2	0.999994	1.97919e-10
3.4	0.999998	6.13259e-10
3.6	1	8.30146e-10
3.8	1	3.23723e-10
4	1	1.48722e-08
4.2	1	8.72066e-08
4.4	1	1.11955e-14
4.6	1	1.94053e-14
4.8	1	3.3162e-14
5	1	2.61619e-14
5.2	1	7.10409e-08
5.4	1	6.02147e-13
5.6	1	3.24414e-12
5.8	1	1.20536e-11
6	1	3.58883e-11
6.2	1	9.05376e-11
6.4	1	1.97932e-10
6.6	1	3.7576e-10
6.8	1	6.13379e-10
7	1	8.28819e-10
7.2	1	8.9397e-09
7.4	1	3.84779e-10
7.6	1	3.23819e-10
7.8	1	3.96751e-09
8	1	1.48724e-08
8.2	1	3.95534e-08
8.4	1	8.72074e-08
8.6	1	9.97598e-13
8.8	1	1.04149e-12
9	1	9.66371e-13
9.2	1	8.17752e-13
9.4	1	6.4049e-13
9.6	1	4.70683e-13
9.8	1	3.26162e-13
10	1	2.08562e-13
10.2	1	1.22096e-13
10.4	1	7.10409e-08
10.6	1	2.27647e-13
10.8	1	6.1852e-13
11	1	1.49746e-12
11.2	1	3.24782e-12
11.4	1	6.46761e-12
11.6	1	1.20541e-11
11.8	1	2.12844e-11
12	1	3.58883e-11
12.2	1	5.80839e-11
12.4	1	9.05376e-11
12.6	1	1.36197e-10
12.8	1	1.97932e-10
13	1	2.77645e-10
13.2	1	3.7576e-10
13.4	1	4.89957e-10
13.6	1	6.13379e-10
